level_0,level_1,,"İlk dəfə qoyulmuş diaqnozla qeydə alınmış xəstələrin sayı -cəmi,",insulindən asılı şəkərli diabet xəstələri,insulindən asılı olmayan şəkərli diabet xəstələri,"Müalicə-profilaktika müəssisələrində qeydiyyatda olan xəstələrin sayı -cəmi, nəfər",insulindən asılı şəkərli diabet xəstələri,insulindən asılı olmayan şəkərli diabet xəstələri
2024,Nəfər,,33533.0,1134.0,32399.0,423523.0,39211.0,384312.0
2024,Əhalinin hər 100000 nəfərinə,,328.7,11.1,317.5,4142.1,383.5,3758.6
2023,Nəfər,,30500.0,1044.0,29456.0,385179.0,35765.0,349414.0
2023,Əhalinin hər 100000 nəfərinə,,300.4,10.3,290.1,3783.4,351.3,3432.1
2022,Nəfər,,25417.0,870.0,24547.0,320982.0,29804.0,291178.0
2022,Əhalinin hər 100000 nəfərinə,,251.8,8.6,243.2,3169.5,294.3,2875.2
2021,Nəfər,,30236.0,1050.0,29186.0,306751.0,30150.0,276601.0
2021,Əhalinin hər 100000 nəfərinə,,301.0,10.4,290.6,3048.2,299.6,2748.6
2020,Nəfər,,25430.0,947.0,24483.0,287466.0,29763.0,257703.0
2020,Əhalinin hər 100000 nəfərinə,,254.3,9.5,244.8,2867.2,296.9,2570.3
2019,Nəfər,,27157.0,1265.0,25892.0,272842.0,30740.0,242102.0
2019,Əhalinin hər 100000 nəfərinə,,273.5,12.7,260.7,2735.5,308.2,2427.3
2018,Nəfər,,24774.0,1611.0,23163.0,255470.0,30863.0,224607.0
2018,Əhalinin hər 100000 nəfərinə,,252.3,16.4,235.9,2590.6,313.0,2277.6
2017,Nəfər,,24881.0,1405.0,23476.0,243226.0,30010.0,213216.0
2017,Əhalinin hər 100000 nəfərinə,,255.6,14.4,241.2,2487.5,306.9,2180.5
2016,Nəfər,,23909.0,1510.0,22399.0,226945.0,28829.0,198116.0
2016,Əhalinin hər 100000 nəfərinə,,248.1,15.7,232.4,2342.1,297.5,2044.5
2015,Nəfər,,24352.0,2391.0,21961.0,209377.0,27533.0,181844.0
2015,Əhalinin hər 100000 nəfərinə,,255.5,25.1,230.5,2184.3,287.2,1897.1
2014,Nəfər,,25152.0,3576.0,21381.0,194520.0,25142.0,167007.0
2014,Əhalinin hər 100000 nəfərinə,,267.1,38.0,227.1,2053.4,265.4,1763.0
2013,Nəfər,,24182.0,3510.0,20426.0,177474.0,26398.0,150548.0
2013,Əhalinin hər 100000 nəfərinə,,260.1,37.8,219.7,1896.7,282.1,1608.9
2012,Nəfər,,23498.0,5078.0,17914.0,153506.0,27588.0,124158.0
2012,Əhalinin hər 100000 nəfərinə,,256.1,55.3,195.2,1661.9,298.7,1344.2
2011,Nəfər,,22104.0,4270.0,17174.0,135711.0,24354.0,109809.0
2011,Əhalinin hər 100000 nəfərinə,,244.2,47.2,189.7,1488.9,267.2,1204.7
2010,Nəfər,,20634.0,5334.0,14860.0,121095.0,23657.0,95949.0
2010,Əhalinin hər 100000 nəfərinə,,231.0,59.7,166.3,1346.8,263.1,1067.2
2009,Nəfər,,22975.0,4470.0,18210.0,108195.0,20519.0,86178.0
2009,Əhalinin hər 100000 nəfərinə,,260.3,50.6,206.3,1218.7,231.1,970.7
2008,Nəfər,,25358.0,5005.0,20353.0,92066.0,18937.0,73129.0
2008,Əhalinin hər 100000 nəfərinə,,290.9,57.4,233.4,1048.9,215.8,833.2
2007,Nəfər,,13993.0,3417.0,10114.0,76753.0,16487.0,59987.0
2007,Əhalinin hər 100000 nəfərinə,,162.7,39.7,117.6,886.3,190.4,692.7
2005,Nəfər,,9825.0,2940.0,6885.0,55713.0,14705.0,41008.0
2005,Əhalinin hər 100000 nəfərinə,,117.2,35.1,82.2,660.6,174.4,486.3
2000,Nəfər,,5792.0,2315.0,3477.0,42448.0,13006.0,29442.0
2000,Əhalinin hər 100000 nəfərinə,,72.8,29.1,43.7,531.0,162.7,368.3
